Tags          , Pauses (min), Start Hour                         , End Hour                           , Min, Hour            , Initialize, Stop, Propriedade
Review        ,             , 6 de janeiro de 2026 23:37 (GMT)   , 6 de janeiro de 2026 23:37 (GMT)   ,   0, 0               ,           ,     , 
Web           ,            2, 7 de janeiro de 2026 14:43 (GMT)   , 7 de janeiro de 2026 14:54 (GMT)   ,   9, "0,15"          ,           ,     , 
Web           ,            5, 7 de janeiro de 2026 16:25 (GMT)   , 7 de janeiro de 2026 17:05 (GMT)   ,  35, "0,583333333333",           ,     , 
Review        ,             , 8 de janeiro de 2026 12:40 (GMT)   , 8 de janeiro de 2026 12:45 (GMT)   ,   5, "0,083333333333",           ,     , 
Web           ,           10, 8 de janeiro de 2026 14:18 (GMT)   , 8 de janeiro de 2026 14:53 (GMT)   ,  25, "0,416666666667",           ,     , 
Web           ,             , 8 de janeiro de 2026 16:55 (GMT)   , 8 de janeiro de 2026 17:01 (GMT)   ,   6, "0,1"           ,           ,     , 
Sistemas      ,           13, 9 de janeiro de 2026 12:49 (GMT)   , 9 de janeiro de 2026 13:27 (GMT)   ,  25, "0,416666666667",           ,     , 
Web           ,            5, 9 de janeiro de 2026 13:32 (GMT)   , 9 de janeiro de 2026 15:03 (GMT)   ,  86, "1,433333333333",           ,     , 
Web           ,             , 9 de janeiro de 2026 16:05 (GMT)   , 9 de janeiro de 2026 16:30 (GMT)   ,  25, "0,416666666667",           ,     , 
Web           ,             , 9 de janeiro de 2026 16:44 (GMT)   , 9 de janeiro de 2026 17:00 (GMT)   ,  16, "0,266666666667",           ,     , 
Review        ,           12, 12 de janeiro de 2026 12:03 (GMT)  , 12 de janeiro de 2026 12:32 (GMT)  ,  17, "0,283333333333",           ,     , 
Sistemas      ,            5, 12 de janeiro de 2026 12:20 (GMT)  , 12 de janeiro de 2026 12:40 (GMT)  ,  15, "0,25"          ,           ,     , 
Review        ,             , 12 de janeiro de 2026 12:35 (GMT)  , 12 de janeiro de 2026 12:58 (GMT)  ,  23, "0,383333333333",           ,     , 
Web           ,           24, 12 de janeiro de 2026 13:22 (GMT)  , 12 de janeiro de 2026 14:49 (GMT)  ,  63, "1,05"          ,           ,     , 
Web           ,             , 12 de janeiro de 2026 16:14 (GMT)  , 12 de janeiro de 2026 17:32 (GMT)  ,  78, "1,3"           ,           ,     , 
Web           ,             , 13 de janeiro de 2026 12:46 (GMT)  , 13 de janeiro de 2026 13:32 (GMT)  ,  46, "0,766666666667",           ,     , 
Web           ,             , 13 de janeiro de 2026 14:21 (GMT)  , 13 de janeiro de 2026 14:24 (GMT)  ,   3, "0,05"          ,           ,     , 
Review        ,             , 13 de janeiro de 2026 14:38 (GMT)  , 13 de janeiro de 2026 14:51 (GMT)  ,  13, "0,216666666667",           ,     , 
Review        ,             , 13 de janeiro de 2026 15:03 (GMT)  , 13 de janeiro de 2026 15:11 (GMT)  ,   8, "0,133333333333",           ,     , 
