Tags,Min,Pauses (min),Start Hour,End Hour
Review        ,0,,6 de janeiro de 2026 23:37 (GMT)   ,6 de janeiro de 2026 23:37 (GMT)   
Web           ,9,2.0,7 de janeiro de 2026 14:43 (GMT)   ,7 de janeiro de 2026 14:54 (GMT)   
Web           ,35,5.0,7 de janeiro de 2026 16:25 (GMT)   ,7 de janeiro de 2026 17:05 (GMT)   
Review        ,5,,8 de janeiro de 2026 12:40 (GMT)   ,8 de janeiro de 2026 12:45 (GMT)   
Web           ,25,10.0,8 de janeiro de 2026 14:18 (GMT)   ,8 de janeiro de 2026 14:53 (GMT)   
Web           ,6,,8 de janeiro de 2026 16:55 (GMT)   ,8 de janeiro de 2026 17:01 (GMT)   
Sistemas      ,25,13.0,9 de janeiro de 2026 12:49 (GMT)   ,9 de janeiro de 2026 13:27 (GMT)   
Web           ,86,5.0,9 de janeiro de 2026 13:32 (GMT)   ,9 de janeiro de 2026 15:03 (GMT)   
Web           ,25,,9 de janeiro de 2026 16:05 (GMT)   ,9 de janeiro de 2026 16:30 (GMT)   
Web           ,16,,9 de janeiro de 2026 16:44 (GMT)   ,9 de janeiro de 2026 17:00 (GMT)   
Review        ,17,12.0,12 de janeiro de 2026 12:03 (GMT)  ,12 de janeiro de 2026 12:32 (GMT)  
Sistemas      ,15,5.0,12 de janeiro de 2026 12:20 (GMT)  ,12 de janeiro de 2026 12:40 (GMT)  
Review        ,23,,12 de janeiro de 2026 12:35 (GMT)  ,12 de janeiro de 2026 12:58 (GMT)  
Web           ,63,24.0,12 de janeiro de 2026 13:22 (GMT)  ,12 de janeiro de 2026 14:49 (GMT)  
Web           ,78,,12 de janeiro de 2026 16:14 (GMT)  ,12 de janeiro de 2026 17:32 (GMT)  
Web           ,46,,13 de janeiro de 2026 12:46 (GMT)  ,13 de janeiro de 2026 13:32 (GMT)  
Web           ,3,,13 de janeiro de 2026 14:21 (GMT)  ,13 de janeiro de 2026 14:24 (GMT)  
Review        ,13,,13 de janeiro de 2026 14:38 (GMT)  ,13 de janeiro de 2026 14:51 (GMT)  
Review        ,8,,13 de janeiro de 2026 15:03 (GMT)  ,13 de janeiro de 2026 15:11 (GMT)  
Review        ,36,5.0,13 de janeiro de 2026 16:01 (GMT)  ,13 de janeiro de 2026 16:42 (GMT)  
Web           ,15,,13 de janeiro de 2026 16:47 (GMT)  ,13 de janeiro de 2026 17:02 (GMT)  
Review        ,11,,14 de janeiro de 2026 12:03 (GMT)  ,14 de janeiro de 2026 12:14 (GMT)  
